id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR01948	670	577	55	1023	2942	1119
TIGR01945	430	334	17	676	2000	632
TIGR01944	141	142	12	212	750	275
TIGR01947	19	27	2	174	414	137
TIGR01946	1041	870	42	1204	4118	1475
TIGR01941	571	542	16	676	2187	828
TIGR01940	542	481	19	673	2074	799
TIGR01943	638	624	41	954	2822	1081
TIGR01942	378	355	8	472	1793	601
TIGR00922	270	227	19	345	1195	447
TIGR02449	39	28	0	57	125	72
TIGR03145	425	314	43	314	898	346
TIGR03144	0	0	0	41	126	26
TIGR03143	516	427	28	637	2126	828
TIGR03142	28	60	8	9	26	11
TIGR03141	28	34	2	15	42	24
TIGR03140	715	576	33	1063	3518	1308
TIGR02441	3107	2720	168	3914	12959	4698
TIGR02440	3165	2772	164	3921	12773	4671
TIGR02443	110	48	1	143	586	178
TIGR02442	8	8	1	14	21	10
TIGR02445	1299	1278	77	1575	6269	2076
TIGR02444	37	24	2	0	2	2
TIGR03149	121	111	13	239	680	226
TIGR02446	693	754	37	894	3361	1091
TIGR02144	46	59	4	18	70	20
TIGR02146	463	423	21	861	2531	918
TIGR02140	64	88	0	135	442	177
TIGR02141	116	153	6	238	779	289
TIGR02142	4818	4338	328	6125	21826	7686
TIGR02143	507	348	8	541	2205	813
TIGR01304	278	206	15	333	1013	395
TIGR02149	228	233	20	421	2025	426
TIGR01893	55	71	2	75	302	87
TIGR01892	900	1030	81	1472	4549	1505
TIGR01891	40	57	1	52	203	56
TIGR01890	860	777	48	1403	5030	1815
TIGR00962	2091	2033	395	2295	6682	2849
TIGR00963	1059	973	92	1317	5098	1688
TIGR00964	51	66	11	65	208	69
TIGR00965	62	73	5	120	400	82
TIGR00966	283	225	8	282	1020	365
TIGR00967	629	634	76	888	2994	905
TIGR00968	5041	4493	348	6208	22230	7869
TIGR00969	95	119	0	144	461	181
TIGR03924	255	173	37	255	651	293
TIGR03921	103	155	3	200	532	193
TIGR03928	301	218	46	319	908	380
TIGR02038	743	607	27	914	3254	1016
TIGR02039	124	115	7	103	233	79
TIGR02030	8	8	1	14	21	10
TIGR02032	47	53	4	42	55	36
TIGR02033	167	160	6	192	465	202
TIGR02034	1250	1106	272	1247	3489	1545
TIGR02035	14	43	2	22	34	4
TIGR02036	704	798	35	494	1632	582
TIGR02037	746	593	27	935	3222	1012
TIGR01817	2410	2172	145	3069	10515	3794
TIGR01760	419	444	4	184	278	319
TIGR01763	0	0	0	6	34	7
TIGR01195	154	184	15	198	619	243
TIGR01769	2	4	0	5	25	4
TIGR03251	415	374	22	614	2526	781
TIGR03811	60	25	2	13	43	21
TIGR03813	16	32	0	22	21	4
TIGR03812	293	234	8	149	666	159
TIGR03817	2	1	0	5	39	17
TIGR03819	548	418	47	726	2652	905
TIGR03818	172	141	4	174	518	147
TIGR03254	486	434	27	738	2429	814
TIGR01426	2	5	0	75	140	102
TIGR01424	2124	1873	99	2764	9065	3351
TIGR01425	927	798	55	1452	5035	1683
TIGR01422	64	40	0	78	323	81
TIGR01423	1281	1149	67	1690	5282	2000
TIGR01420	195490	136236	77129	293367	404806	157690
TIGR01421	1855	1703	91	2449	8187	3007
TIGR00384	255	304	7	341	1215	415
TIGR02857	6306	5715	431	8022	27482	9858
TIGR00387	598	548	16	785	3104	933
TIGR00380	0	0	0	14	60	12
TIGR00381	0	0	0	36	139	18
