id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR02212	634	485	21	888	3353	1222
TIGR02213	525	399	19	765	2761	1035
TIGR03345	1877	1499	150	2029	6933	2692
TIGR03344	0	0	0	4	36	13
TIGR03347	47	44	1	6	53	45
TIGR03346	1858	1512	154	2066	7102	2742
TIGR02218	674	341	8	153	317	112
TIGR02219	46	25	0	4	0	2
TIGR03343	4	7	0	121	304	60
TIGR03342	145	127	5	177	621	268
TIGR03189	1812	1364	108	2285	8221	2757
TIGR03183	4	2	2	4	20	15
TIGR03182	367	263	21	352	1020	499
TIGR03181	418	314	23	376	1080	529
TIGR03186	2209	1775	139	2531	8002	3002
TIGR00228	264	189	15	318	1121	376
TIGR04217	185	185	16	169	794	251
TIGR04215	4	0	0	9	41	26
TIGR02108	103	137	5	169	468	121
TIGR02109	249	237	5	261	1112	334
TIGR00485	3435	3387	565	3252	9319	4246
TIGR02100	123	98	0	17	118	45
TIGR02102	38	49	0	15	89	24
TIGR02103	178	158	6	32	127	50
TIGR02104	148	141	4	31	126	49
TIGR00221	37	34	2	23	113	33
TIGR02107	11	6	2	2	5	2
TIGR03983	58	41	6	120	745	151
TIGR01617	203	163	5	197	462	242
TIGR03539	691	572	42	957	3269	1236
TIGR03987	36	20	1	49	257	77
TIGR03986	0	0	0	8	30	12
TIGR01613	909	446	15	1254	1853	952
TIGR03989	2678	1927	175	3088	9798	3848
TIGR03298	365	394	13	332	958	408
TIGR03297	41	45	3	49	184	69
TIGR03296	12	23	3	29	45	19
TIGR03295	0	0	0	49	102	19
TIGR03294	0	0	0	5	27	6
TIGR03290	0	0	0	17	77	5
TIGR03961	54	57	2	53	206	43
TIGR03963	219	173	15	234	953	305
TIGR03962	235	185	3	254	1059	311
TIGR03965	170	197	18	352	1349	414
TIGR01190	89	77	2	139	360	109
TIGR02767	6	10	0	2	2	5
TIGR03966	65	81	10	169	519	207
TIGR01196	550	582	48	646	2113	826
TIGR02962	13	13	0	5	18	2
TIGR01729	0	0	0	4	55	12
TIGR01728	69	96	0	277	975	280
TIGR01720	2	10	0	15	56	19
TIGR01722	2812	2790	196	3247	11131	3983
TIGR01725	78	38	2	2	0	22
TIGR02963	40	53	6	13	88	23
TIGR00054	477	419	18	557	1969	688
TIGR00055	83	90	15	164	689	192
TIGR00056	39	32	0	174	447	164
TIGR02965	24	24	0	51	116	37
TIGR00050	423	339	29	587	1874	660
TIGR00051	88	70	5	108	372	117
TIGR00052	165	132	9	188	765	237
TIGR02961	54	64	3	31	67	41
TIGR00058	50	44	1	114	621	101
TIGR00059	134	105	4	193	732	301
TIGR02968	99	105	2	98	460	143
TIGR02969	22	18	0	29	119	29
TIGR01264	604	516	54	858	2833	1077
TIGR01265	728	634	57	1051	3414	1314
TIGR01266	5	3	0	18	61	9
TIGR01267	19	45	2	34	44	22
TIGR01260	133	116	14	180	515	140
TIGR01261	43	34	0	36	182	50
TIGR01262	795	607	43	745	2922	1018
TIGR01263	201	175	14	136	312	141
TIGR01268	19	45	2	36	45	23
TIGR01269	19	45	2	36	45	23
TIGR01462	397	298	18	615	1775	711
TIGR01463	59	40	5	112	312	116
TIGR01461	340	261	14	531	1548	630
TIGR01466	113	91	16	137	428	126
TIGR01467	105	86	16	124	367	115
TIGR01464	464	348	27	549	1862	613
TIGR01465	178	155	17	190	660	212
TIGR01469	253	231	19	268	1040	349
TIGR03433	34	30	0	5	9	14
TIGR03432	393	430	38	466	1554	626
TIGR02818	2549	1940	197	2878	8975	3481
TIGR04350	534	439	40	717	2340	957
TIGR03434	306	258	15	222	622	222
TIGR02812	26	31	2	22	126	32
TIGR02813	778	904	41	1073	3364	1138
TIGR03439	21	18	0	0	2	0
TIGR03438	21	18	0	0	2	0
TIGR02816	21	36	6	46	106	48
TIGR02817	511	501	19	689	1875	835
TIGR02814	54	68	2	58	201	47
TIGR02815	0	0	0	2	38	0
TIGR00186	614	634	64	753	2626	907
TIGR00187	196	164	18	340	1001	348
TIGR00184	711	795	216	979	2729	963
TIGR00185	278	252	12	352	1207	480
TIGR00182	16	46	2	73	190	66
TIGR00183	198	177	11	240	643	205
TIGR00180	141	153	8	217	967	280
TIGR00181	322	282	14	439	1475	579
TIGR00188	114	106	7	222	795	229
TIGR00189	269	302	15	593	2132	675
TIGR01596	0	1	0	15	227	48
TIGR01594	215	241	5	158	193	131
TIGR01595	7	12	2	56	372	45
TIGR01591	1955	1838	144	2545	8065	3080
TIGR03367	101	69	8	128	388	136
TIGR03507	15	16	0	0	1	12
TIGR03506	755	614	28	915	3293	1167
TIGR03505	52	52	0	90	271	89
TIGR03504	124	102	4	122	443	181
TIGR00238	350	349	13	507	1885	605
TIGR00239	1742	1245	102	1819	5702	2270
TIGR04221	941	932	84	1224	4694	1569
TIGR03500	11	27	0	29	108	35
TIGR00234	528	475	15	863	2988	910
TIGR00236	332	243	16	439	1531	520
TIGR00237	68	44	2	201	570	140
TIGR00230	272	258	15	384	1124	423
TIGR00231	2171	2172	239	2838	8894	3471
TIGR00232	438	373	21	392	1402	435
TIGR00233	460	374	10	512	1991	601
TIGR01048	418	352	21	703	2387	765
TIGR01049	214	169	12	232	610	207
TIGR01044	100	141	4	176	461	139
TIGR01046	184	154	10	203	538	182
TIGR01040	1108	1009	124	1257	3492	1422
TIGR01041	1896	1895	213	2077	5939	2557
TIGR01042	648	520	112	736	1660	864
TIGR01043	1076	963	165	1163	2915	1421
TIGR01288	3309	2988	208	3933	15437	5082
TIGR01289	3	1	0	0	7	0
TIGR01282	0	0	0	37	209	45
TIGR01283	0	0	0	46	210	44
TIGR01280	122	87	4	99	349	95
TIGR01286	0	2	0	30	98	13
TIGR01287	0	0	0	2	31	4
TIGR01284	0	0	0	34	192	40
TIGR01285	0	2	0	30	97	12
TIGR02586	0	0	0	15	41	4
TIGR02580	0	0	0	12	50	0
TIGR02589	9	14	2	94	509	86
TIGR03619	2584	2180	139	3279	9645	4176
TIGR02745	358	357	19	672	2158	865
TIGR03613	14	20	0	22	89	10
TIGR03612	61	43	5	34	204	65
TIGR03611	53	52	0	144	451	117
TIGR02749	368	361	20	670	2149	686
TIGR03617	1607	1264	67	2116	6552	2525
TIGR03616	49	70	8	35	83	15
TIGR03615	191	161	15	211	892	292
TIGR00520	46	61	2	30	69	27
TIGR00521	421	399	24	531	1938	655
TIGR00524	0	0	0	17	51	14
TIGR00525	210	142	10	175	626	275
TIGR00526	217	146	10	179	640	283
TIGR00527	93	115	5	102	628	160
TIGR00528	490	441	16	690	2133	806
TIGR03530	17	20	0	66	197	73
TIGR01131	452	360	29	576	1458	554
TIGR01132	93	79	4	32	189	22
TIGR01133	410	249	6	536	1740	553
TIGR01134	631	585	19	653	2526	1012
TIGR01135	1350	1181	81	1583	5617	2029
TIGR01136	1250	991	73	1739	5856	2013
TIGR01137	1054	833	68	1464	4816	1668
TIGR01138	1031	815	61	1430	4772	1640
TIGR01139	1148	898	69	1607	5308	1823
TIGR00385	45	52	5	30	109	48
TIGR00425	52	53	0	138	388	135
TIGR00424	44	13	0	48	110	27
TIGR00427	1	6	0	24	157	35
TIGR00426	78	86	0	170	401	166
TIGR00421	213	170	18	218	724	314
TIGR00420	303	270	24	479	1352	538
TIGR00423	144	101	9	253	655	195
TIGR00422	1822	1461	134	2299	7076	2717
TIGR00382	566	490	57	718	2373	994
TIGR03765	23	22	4	7	6	6
TIGR03764	65	78	7	62	155	76
TIGR03761	67	58	0	49	170	72
TIGR04132	128	81	1	133	542	183
TIGR00065	459	328	34	623	2034	641
TIGR00064	814	733	35	1356	4902	1498
TIGR00067	122	168	4	241	850	250
TIGR02914	44	41	0	91	326	100
TIGR01869	0	0	0	8	42	2
TIGR04018	235	221	16	361	1051	431
TIGR01862	0	0	0	33	207	43
TIGR01863	5	12	0	104	517	52
TIGR01860	0	0	0	29	147	40
TIGR01861	0	0	0	29	147	39
TIGR00731	303	239	15	353	1183	476
TIGR00730	18	18	5	89	332	75
TIGR00733	0	0	0	29	16	7
TIGR00732	232	151	6	336	1097	381
TIGR00735	452	348	13	708	2118	676
TIGR03620	790	694	34	1074	3389	1461
TIGR00737	813	718	37	1012	4072	1365
TIGR00739	25	27	0	26	79	27
TIGR00738	244	156	17	274	844	361
TIGR00538	225	249	7	396	1423	397
TIGR02566	50	49	4	16	107	46
TIGR00140	2	2	0	7	19	4
TIGR02565	52	36	1	20	64	23
TIGR00790	3	5	3	116	381	72
TIGR00147	0	0	0	28	58	28
TIGR00145	12	14	2	17	108	36
TIGR01912	276	231	7	397	1484	422
TIGR01910	767	822	64	1221	3699	1293
TIGR01916	448	346	7	463	1920	765
TIGR03628	143	133	23	309	818	297
TIGR03358	44	29	0	28	53	38
TIGR03359	111	129	11	69	226	133
TIGR03356	264	162	4	33	85	44
TIGR03357	45	29	2	17	60	35
TIGR03354	74	46	0	15	45	46
TIGR01919	302	228	6	429	1149	472
TIGR03352	27	25	0	11	29	19
TIGR03353	166	108	14	88	187	83
TIGR03350	437	436	17	650	2850	854
TIGR03351	140	104	5	203	707	265
TIGR00886	540	509	21	586	2039	717
TIGR00885	37	76	2	59	166	63
TIGR00884	317	216	22	332	1050	397
TIGR00883	140	154	2	250	436	276
TIGR03199	18	19	4	9	14	5
TIGR00881	230	219	16	266	866	289
TIGR00880	212	208	31	174	552	207
TIGR03194	21	16	0	27	78	20
TIGR03196	20	16	0	27	78	20
TIGR03197	374	307	17	389	1576	561
TIGR03192	0	0	0	17	104	29
TIGR00888	542	514	30	707	2400	841
TIGR02178	579	568	55	632	2055	828
TIGR02177	218	199	2	306	1077	330
TIGR02176	63	67	3	308	1426	381
TIGR02171	1	0	0	8	36	3
TIGR02170	232	214	9	1403	887	309
TIGR03994	211	232	6	309	1107	336
TIGR03996	581	481	37	697	2038	820
TIGR03997	1012	902	45	1294	3711	1475
TIGR03990	1305	1177	51	1923	7054	2111
TIGR03991	0	2	0	21	25	13
TIGR03992	865	693	41	1341	3934	1333
TIGR03999	634	571	45	782	3824	1027
TIGR00959	1021	891	56	1618	5478	1800
TIGR00958	4339	3903	266	5238	18740	6841
TIGR03282	0	0	0	4	37	10
TIGR03283	163	68	16	100	287	171
TIGR03284	604	317	30	395	675	404
TIGR03286	0	0	0	8	47	22
TIGR03288	0	0	0	49	135	36
TIGR00950	211	186	23	254	775	328
TIGR00952	113	139	6	119	304	135
TIGR00955	2970	2632	206	3629	12703	4660
TIGR00954	384	371	19	444	1468	488
TIGR00957	1050	941	61	1069	3377	1303
TIGR00956	305	322	26	269	832	293
TIGR03979	0	0	0	0	52	4
TIGR03970	181	221	10	116	353	93
TIGR03971	9146	7728	406	11238	39885	14791
TIGR03977	35	36	0	18	56	20
TIGR03975	0	0	0	18	78	25
TIGR02167	0	0	0	11	40	3
TIGR02001	544	517	10	586	1739	712
TIGR02000	6	11	0	29	76	20
TIGR01738	61	44	0	159	538	96
TIGR01739	295	225	10	417	1476	544
TIGR02005	38	18	0	0	4	4
TIGR02004	38	18	0	0	4	4
TIGR02007	254	179	4	313	1047	362
TIGR02006	706	608	34	872	2484	865
TIGR02009	76	67	7	177	840	167
TIGR01733	2692	2350	174	3423	12060	4389
TIGR01730	2416	2216	134	3213	11807	3706
TIGR01736	266	234	10	348	1092	392
TIGR01737	144	141	4	260	839	302
TIGR01734	1254	1101	90	1797	7218	2356
TIGR01735	1188	1004	74	1613	5228	2077
TIGR01788	198	200	2	150	754	178
TIGR01455	1211	1096	40	1824	6592	2017
TIGR01454	281	229	8	458	1837	495
TIGR01453	14	15	0	17	87	10
TIGR02241	5	29	0	0	0	2
TIGR01451	23	8	2	37	300	44
TIGR01450	98	106	11	113	390	69
TIGR00061	192	111	19	192	613	169
TIGR04344	2	0	0	83	224	70
TIGR04345	49	56	0	35	88	41
TIGR03426	168	177	20	235	794	292
TIGR03427	68	94	0	260	822	246
TIGR03420	348	323	24	439	1368	603
TIGR03421	22	32	6	21	91	24
TIGR03542	613	525	46	866	2871	1089
TIGR02827	46	47	0	32	71	37
TIGR02825	233	193	13	283	1066	416
TIGR02824	1401	1195	78	1870	5759	2278
TIGR03428	101	86	5	169	501	146
TIGR04349	292	246	25	296	1105	359
TIGR02821	66	77	2	46	76	22
TIGR03840	1	0	0	38	88	18
TIGR02248	20	36	0	11	39	8
TIGR04068	14	16	2	3	14	4
TIGR02506	1816	1432	116	819	2352	1424
TIGR03546	21	65	0	15	30	18
TIGR03545	9	26	0	15	46	10
TIGR02959	549	459	26	470	1699	621
TIGR02952	165	126	8	153	479	185
TIGR02951	129	113	13	245	666	236
TIGR02950	486	380	21	458	1641	578
TIGR02957	48	63	4	28	70	36
TIGR02956	6930	6047	368	7920	30441	9662
TIGR02955	22	29	0	4	17	6
TIGR02954	288	266	15	367	952	427
TIGR03518	6	3	2	28	86	32
TIGR03519	27	34	4	123	378	116
TIGR03512	0	0	0	6	58	19
TIGR03513	10	13	0	43	64	18
TIGR03515	3	0	0	13	46	16
TIGR03516	0	1	0	21	79	19
TIGR00089	943	838	106	1323	4375	1479
TIGR00088	291	235	8	379	1168	428
TIGR00087	273	162	2	294	1033	418
TIGR00086	30	30	0	16	45	18
TIGR00084	189	146	2	263	863	308
TIGR00083	224	254	18	418	1290	458
TIGR00082	166	159	2	258	731	293
TIGR00081	405	330	25	435	1608	547
TIGR00080	204	215	8	339	1188	417
TIGR01926	196	185	15	249	860	339
TIGR03608	5220	4685	376	6531	22366	8118
TIGR03609	22	17	0	13	42	7
TIGR02770	3437	3145	226	4469	15687	5573
TIGR03604	65	69	8	20	168	51
TIGR03607	0	0	0	7	9	3
TIGR03600	800	744	33	1498	4607	1330
TIGR02779	12	16	0	2	15	47
TIGR00557	193	198	9	498	1881	595
TIGR00556	91	74	6	146	418	116
TIGR00551	1629	1234	77	1793	5734	2020
TIGR00550	381	316	28	615	1758	671
TIGR00553	751	687	28	933	3138	1178
TIGR00552	248	294	17	317	1059	350
TIGR00559	302	257	15	481	1368	546
TIGR00558	141	109	7	116	375	117
TIGR01145	495	393	30	657	2181	906
TIGR01144	234	188	16	284	895	312
TIGR01146	464	425	19	621	2082	700
TIGR01141	955	857	59	1408	4695	1646
TIGR01140	753	710	50	1080	3616	1321
TIGR01143	831	737	29	1078	4080	1352
TIGR01142	110	102	8	135	640	230
TIGR02489	369	310	8	482	1740	603
TIGR02488	648	512	14	835	3001	1003
TIGR02487	38	43	0	28	53	23
TIGR02486	2	0	0	38	115	22
TIGR02481	196	218	12	410	1779	487
TIGR02480	105	99	13	161	501	201
TIGR02483	482	352	26	609	1582	643
TIGR02482	389	288	26	521	1162	507
TIGR00438	298	169	15	281	952	357
TIGR00439	450	328	17	810	2604	863
TIGR00436	547	469	16	714	2398	930
TIGR00437	192	192	13	186	757	305
TIGR00434	236	184	3	245	769	272
TIGR00435	571	499	51	839	2429	952
TIGR00432	642	418	71	480	1636	620
TIGR00433	395	278	20	356	1420	499
TIGR00430	726	537	87	612	1978	757
TIGR00431	74	76	1	129	373	149
TIGR03770	110	96	0	122	501	119
TIGR03771	4035	3634	293	5077	18279	6332
TIGR03772	77	65	3	94	367	131
TIGR01853	401	354	20	572	1761	694
TIGR01852	342	280	11	269	898	385
TIGR01851	82	89	1	165	658	191
TIGR01850	379	345	19	664	2085	673
TIGR01857	186	181	7	336	1028	364
TIGR01855	326	326	33	495	1529	619
TIGR01854	166	163	5	277	1068	387
TIGR01859	243	251	22	220	888	257
TIGR01858	149	202	18	180	713	209
TIGR02390	748	783	92	945	2480	1080
TIGR02393	1423	1356	373	1589	4953	1931
TIGR02392	1429	1391	371	1660	5252	2021
TIGR02395	376	438	16	620	2189	846
TIGR02394	1514	1433	380	1706	5457	2106
TIGR02397	324	224	27	434	1527	459
TIGR00722	200	228	10	357	972	341
TIGR00723	208	209	28	277	1048	319
TIGR00720	0	3	0	5	56	12
TIGR00726	307	226	4	439	1653	509
TIGR00724	39	18	0	20	100	40
TIGR00725	10	7	1	65	228	45
TIGR00728	0	0	0	32	16	7
TIGR00729	17	6	0	6	15	6
TIGR02552	62	51	0	58	266	73
TIGR02551	119	104	13	164	497	193
TIGR02550	524	540	1	829	3010	715
TIGR00898	63	73	0	113	197	134
TIGR00899	217	209	5	314	1062	382
TIGR03361	139	150	19	55	233	105
TIGR01923	3672	3286	231	4630	16237	6001
TIGR03366	1926	1351	123	2032	6560	2413
TIGR03365	167	134	8	196	777	249
TIGR03364	21	25	0	20	44	2
TIGR00890	270	207	17	269	1085	314
TIGR00891	63	73	0	102	156	118
TIGR00892	237	160	15	225	817	269
TIGR00893	329	309	20	352	1306	409
TIGR00895	184	199	4	319	1014	398
TIGR01929	3445	2745	222	4374	14829	5285
TIGR03160	19	24	2	25	45	20
TIGR03162	362	284	11	335	1348	482
TIGR03167	427	330	29	486	1794	571
TIGR03169	553	433	23	899	2986	1037
TIGR03168	61	68	6	67	332	91
TIGR02168	1234	974	78	1653	5383	1859
TIGR00987	181	115	10	186	728	276
TIGR02166	570	458	34	644	2239	816
TIGR01632	201	231	33	275	768	300
TIGR02164	253	188	7	201	766	312
TIGR01630	62	77	4	171	494	175
TIGR02162	35	34	1	41	93	22
TIGR02163	0	0	0	30	40	13
TIGR02160	139	167	12	136	598	155
TIGR02161	35	34	1	41	93	22
TIGR02377	15	7	2	15	77	28
TIGR00949	34	53	0	52	111	32
TIGR00942	39	48	0	33	106	24
TIGR00943	14	39	0	13	30	6
TIGR00940	216	307	18	329	655	204
TIGR00981	194	170	24	224	501	208
TIGR00946	299	249	14	381	1414	468
TIGR00947	97	83	3	28	96	40
TIGR00944	135	222	17	232	445	139
TIGR00945	273	221	7	398	1452	411
TIGR03948	70	66	2	122	572	136
TIGR03947	547	461	44	748	2341	948
TIGR03945	987	769	62	1380	4493	1566
TIGR03944	41	56	2	28	90	15
TIGR03942	14	16	2	24	22	10
TIGR03940	10	6	0	40	250	40
TIGR02473	54	91	1	34	254	73
TIGR02012	690	623	34	617	2015	838
TIGR02013	1566	1356	166	1780	5197	2117
TIGR02010	248	132	14	300	997	387
TIGR02011	198	184	22	296	1038	379
TIGR02017	17	10	2	8	18	3
TIGR01709	2	1	0	17	78	0
TIGR01708	84	58	1	107	450	120
TIGR01706	1176	1169	101	1615	4749	1895
TIGR02018	16	31	0	27	94	14
TIGR01704	23	37	2	22	82	28
TIGR01703	8	2	0	124	382	71
TIGR01702	0	0	0	19	86	41
TIGR01701	1042	855	59	1132	3853	1336
TIGR01700	86	53	1	209	804	275
TIGR03381	279	252	12	402	1365	412
TIGR03385	1591	1368	72	2391	7564	2699
TIGR03384	12	28	2	17	38	25
